timestamp,ridlserver02,ridlserver04,ridlserver05,ridlserver11,ridlserver12,total_watts
2026-03-10T13:29:16.569+00:00,140,161,139,96,161,697
2026-03-10T13:29:17.569+00:00,140,161,140,94,160,695
2026-03-10T13:29:18.569+00:00,142,165,141,96,158,702
2026-03-10T13:29:19.569+00:00,141,165,140,96,160,702
2026-03-10T13:29:20.569+00:00,141,158,139,96,161,695
2026-03-10T13:29:21.569+00:00,141,158,139,96,161,695
2026-03-10T13:29:22.569+00:00,141,158,140,95,161,695
2026-03-10T13:29:23.569+00:00,141,164,140,94,159,698
2026-03-10T13:29:24.569+00:00,142,160,140,94,160,696
2026-03-10T13:29:25.569+00:00,139,164,139,98,161,701
2026-03-10T13:29:26.569+00:00,139,156,139,96,160,690
2026-03-10T13:29:27.569+00:00,141,159,140,97,161,698
2026-03-10T13:29:28.569+00:00,141,163,140,98,160,702
2026-03-10T13:29:29.569+00:00,141,160,139,96,160,696
2026-03-10T13:29:30.569+00:00,140,159,140,96,160,695
2026-03-10T13:29:31.569+00:00,141,159,141,96,160,697
2026-03-10T13:29:32.569+00:00,141,160,139,95,160,695
2026-03-10T13:29:33.569+00:00,141,160,139,96,160,696
2026-03-10T13:29:34.569+00:00,141,160,139,96,160,696
2026-03-10T13:29:35.569+00:00,141,157,139,96,159,692
2026-03-10T13:29:36.569+00:00,140,161,139,96,161,697
2026-03-10T13:29:37.569+00:00,142,158,140,96,159,695
2026-03-10T13:29:38.569+00:00,141,155,141,96,159,692
2026-03-10T13:29:39.569+00:00,141,163,139,97,159,699
2026-03-10T13:29:40.569+00:00,142,156,141,96,161,696
2026-03-10T13:29:41.569+00:00,141,160,139,96,160,696
2026-03-10T13:29:42.569+00:00,139,163,138,97,160,697
2026-03-10T13:29:43.896+00:00,141,161,137,97,160,696
2026-03-10T13:29:44.896+00:00,140,162,140,97,160,699
2026-03-10T13:29:45.896+00:00,141,162,139,96,160,698
2026-03-10T13:29:46.896+00:00,141,159,140,94,160,694
2026-03-10T13:29:47.896+00:00,141,158,141,96,159,695
2026-03-10T13:29:48.896+00:00,141,160,140,96,160,697
2026-03-10T13:29:49.919+00:00,141,160,138,97,160,696
2026-03-10T13:29:50.919+00:00,141,160,138,96,160,695
2026-03-10T13:29:51.919+00:00,141,161,139,95,158,694
2026-03-10T13:29:52.919+00:00,141,89,140,96,160,626
2026-03-10T13:29:53.919+00:00,141,87,140,96,160,624
2026-03-10T13:29:54.919+00:00,141,84,140,96,161,622
2026-03-10T13:29:55.937+00:00,144,87,141,97,159,628
2026-03-10T13:29:57.311+00:00,149,83,139,95,159,625
2026-03-10T13:29:58.311+00:00,149,84,140,97,161,631
2026-03-10T13:29:59.311+00:00,150,84,141,97,159,631
2026-03-10T13:30:00.311+00:00,148,83,139,97,159,626
2026-03-10T13:30:01.311+00:00,151,84,140,97,159,631
2026-03-10T13:30:02.311+00:00,149,84,140,96,161,630
2026-03-10T13:30:03.311+00:00,149,89,139,96,160,633
2026-03-10T13:30:04.311+00:00,148,106,139,96,159,648
2026-03-10T13:30:05.311+00:00,140,117,140,94,161,652
2026-03-10T13:30:06.311+00:00,141,124,139,95,160,659
2026-03-10T13:30:07.311+00:00,140,124,139,95,160,658
2026-03-10T13:30:08.311+00:00,141,137,139,97,160,674
2026-03-10T13:30:09.311+00:00,139,137,140,96,160,672
2026-03-10T13:30:10.311+00:00,141,137,138,96,161,673
2026-03-10T13:30:11.311+00:00,142,136,139,97,159,673
2026-03-10T13:30:12.311+00:00,141,138,139,98,159,675
